StateCode,State_x,Region,_StoreID,City Name,County,State_y,Type,Latitude,Longitude,AreaCode,Population,Household Income,Median Income,Land Area,Water Area,Time Zone
CT,Connecticut,Northeast,109,Stamford,Fairfield County,Connecticut,City,41.05343,-73.53873,203,128874,46974,79359,97430571,37323740,America/New York
CT,Connecticut,Northeast,110,Stamford (Town),Fairfield County,Connecticut,Town,41.07986,-73.54603,203,128874,46974,79359,97430571,37323740,America/New York
CT,Connecticut,Northeast,111,Waterbury,New Haven County,Connecticut,City,41.55815,-73.0515,203,108802,40213,40467,73880017,1086045,America/New York
CT,Connecticut,Northeast,112,Waterbury (Town),New Haven County,Connecticut,Town,41.5585,-73.03668,203,108802,40213,40467,73880017,1086045,America/New York
DC,District of Columbia,South,113,Washington,District of Columbia,District of Columbia,City,38.9041,-77.01723,202,672228,273390,70848,158364992,18633403,America/New York
FL,Florida,South,114,Brandon,Hillsborough County,Florida,CDP,27.9378,-82.28592,813,106604,40453,56464,85738633,4903052,America/New York
FL,Florida,South,115,Cape Coral,Lee County,Florida,City,26.56285,-81.94953,941,175229,58967,50536,273544395,35010453,America/New York
FL,Florida,South,116,Clearwater,Pinellas County,Florida,City,27.97895,-82.76657,727,113003,46234,44198,67027321,36469162,America/New York
FL,Florida,South,117,Coral Springs,Broward County,Florida,City,26.27119,-80.2706,954,129485,40571,66430,61625913,520928,America/New York
FL,Florida,South,118,Davie,Broward County,Florida,Town,26.06287,-80.2331,954,100882,33707,59680,90395673,2163582,America/New York
FL,Florida,South,119,Fort Lauderdale,Broward County,Florida,City,26.12231,-80.14338,954,178590,73446,50778,89672308,4372775,America/New York
FL,Florida,South,120,Gainesville,Alachua County,Florida,City,29.65163,-82.32483,352,130128,47968,31818,161411152,3017660,America/New York
FL,Florida,South,121,Hialeah,Miami-Dade County,Florida,City,25.8576,-80.27811,305,237069,69219,29249,55623172,3481216,America/New York
FL,Florida,South,122,Hollywood,Broward County,Florida,City,26.0112,-80.14949,954,149728,55823,46791,70639073,8937087,America/New York
FL,Florida,South,123,Jacksonville,Duval County,Florida,City,30.33218,-81.65565,904,868031,318575,46764,1935873371,329424471,America/New York
FL,Florida,South,124,Lakeland,Polk County,Florida,City,28.03947,-81.9498,863,104401,39376,39706,170700664,23355418,America/New York
FL,Florida,South,125,Lehigh Acres,Lee County,Florida,CDP,26.62535,-81.6248,941,106747,31831,40226,239916420,3912093,America/New York
FL,Florida,South,126,Miami,Miami-Dade County,Florida,City,25.77427,-80.19366,305,441003,157347,31051,93204587,51995800,America/New York
FL,Florida,South,127,Miami Gardens,Miami-Dade County,Florida,City,25.94204,-80.2456,305,113187,31003,38253,47236363,2016214,America/New York
FL,Florida,South,128,Miramar,Broward County,Florida,City,25.98731,-80.23227,954,137132,38474,65282,76095016,4917826,America/New York
FL,Florida,South,129,Orlando,Orange County,Florida,City,28.53834,-81.37924,407,270934,105359,42318,272512582,22100434,America/New York
FL,Florida,South,130,Palm Bay,Brevard County,Florida,City,28.03446,-80.58866,321,107888,37821,43163,170217927,8124203,America/New York
FL,Florida,South,131,Pembroke Pines,Broward County,Florida,City,26.00315,-80.22394,954,166611,56171,61279,85539498,5033092,America/New York
FL,Florida,South,132,Pompano Beach,Broward County,Florida,City,26.23786,-80.12477,954,107762,41422,41321,62261002,1737713,America/New York
FL,Florida,South,133,Port St. Lucie,St. Lucie County,Florida,City,27.29393,-80.35033,772,179413,59221,49813,307920898,4193519,America/New York
FL,Florida,South,134,Spring Hill,Hernando County,Florida,CDP,28.47689,-82.52546,352,100270,39038,41308,154983928,6194314,America/New York
FL,Florida,South,135,St. Petersburg,Pinellas County,Florida,City,27.77086,-82.67927,727,257083,105443,45748,159935822,196559588,America/New York
FL,Florida,South,136,Tallahassee,Leon County,Florida,City,30.43826,-84.28073,850,189907,74388,39681,260089732,8300437,America/New York
FL,Florida,South,137,Tampa,Hillsborough County,Florida,City,27.94752,-82.45843,813,369075,142232,44185,293748385,160056620,America/New York
FL,Florida,South,138,West Palm Beach,Palm Beach County,Florida,City,26.71534,-80.05337,561,106779,41474,45800,142798170,6628847,America/New York
GA,Georgia,South,139,Athens,Clarke County,Georgia,Unified Government,33.95219,-83.36715,706,123912,45389,39464,308738452,4741286,America/New York
GA,Georgia,South,140,Atlanta,DeKalb County/Fulton County,Georgia,City,33.76291,-84.42267,678,463878,185820,47527,345684978,2311315,America/New York
GA,Georgia,South,141,Augusta,Richmond County,Georgia,Consolidated Government,33.36149,-82.075,706,201793,73917,39464,840008393,11042219,America/New York
GA,Georgia,South,142,Columbus,Muscogee County,Georgia,City,32.46098,-84.98771,706,200579,72760,42306,560530243,11873622,America/New York
GA,Georgia,South,143,Macon,Bibb County,Georgia,Other,32.808840000000004,-83.69419,478,153515,57025,36568,645603627,14488557,America/New York
GA,Georgia,South,144,Sandy Springs,Fulton County,Georgia,City,33.92427,-84.37854,678,105330,43058,63917,97526360,2245984,America/New York
GA,Georgia,South,145,Savannah,Chatham County,Georgia,City,32.08354,-81.09983,912,145674,52798,36466,268318796,13908113,America/New York
HI,Hawaii,West,146,Honolulu,Honolulu County,Hawaii,CDP,21.32435,-157.84764,808,352769,127177,61442,156812572,20481895,Pacific/Honolulu
IA,Iowa,Midwest,147,Cedar Rapids,Linn County,Iowa,City,42.00833,-91.64407,319,130405,53328,53581,183340874,3295742,America/Chicago
IA,Iowa,Midwest,148,Davenport,Scott County,Iowa,City,41.52364,-90.57764,563,102582,41100,47343,162885999,5501339,America/Chicago
IA,Iowa,Midwest,149,Des Moines,Warren County/Polk County,Iowa,City,41.57259,-93.61024,515,210330,81717,46290,230329944,4657227,America/Chicago
ID,Idaho,West,150,Boise City,Ada County,Idaho,City,43.6135,-116.20345,208,218281,86916,50323,212601021,1845301,America/Boise
IL,Illinois,Midwest,151,Aurora,Kendall County/Kane County/Will County/DuPage County,Illinois,City,41.76346,-88.2901,630,200661,61449,63090,116273603,2278285,America/Chicago
IL,Illinois,Midwest,152,Aurora (Township),Kane County,Illinois,Township,41.76887,-88.31893,630,148308,44798,49797,89841331,1727843,America/Chicago
