StateCode,State_x,Region,_StoreID,City Name,County,State_y,Type,Latitude,Longitude,AreaCode,Population,Household Income,Median Income,Land Area,Water Area,Time Zone
LA,Louisiana,South,202,Lafayette,Lafayette Parish,Louisiana,City,30.22409,-92.01984,337,127657,50025,46517,139369271,259576,America/Chicago
LA,Louisiana,South,203,Metairie,Jefferson Parish,Louisiana,CDP,29.98409,-90.15285,504,140074,59557,52421,60144259,109317,America/Chicago
LA,Louisiana,South,204,New Orleans,Orleans Parish,Louisiana,City,29.95465,-90.07507,504,389617,153140,36792,438799508,467299606,America/Chicago
LA,Louisiana,South,205,Shreveport,Caddo Parish/Bossier Parish,Louisiana,City,32.46688,-93.79219,318,197204,77500,38583,277484105,39395075,America/Chicago
MA,Massachusetts,Northeast,206,Boston,Suffolk County,Massachusetts,City,42.35843,-71.05977,857,667137,256294,55777,125219114,106849577,America/New York
MA,Massachusetts,Northeast,207,Cambridge,Middlesex County,Massachusetts,City,42.3751,-71.10561,857,110402,43801,79416,16556713,1861901,America/New York
MA,Massachusetts,Northeast,208,Lowell,Middlesex County,Massachusetts,City,42.63342,-71.31617,351,110699,38489,48002,35187375,2442614,America/New York
MA,Massachusetts,Northeast,209,Springfield,Hampden County,Massachusetts,City,42.10148,-72.58981,413,154341,55644,34728,82538680,3142825,America/New York
MA,Massachusetts,Northeast,210,Worcester,Worcester County,Massachusetts,City,42.26259,-71.80229,774,184815,68576,45472,96758525,2814766,America/New York
MD,Maryland,South,211,Baltimore,Baltimore city,Maryland,City,39.29038,-76.61219,410,621849,242268,42241,209643557,28767622,America/New York
MD,Maryland,South,212,Columbia,Howard County,Maryland,CDP,39.24038,-76.83942,410,102116,39893,100849,82691135,667179,America/New York
MI,Michigan,Midwest,213,Ann Arbor,Washtenaw County,Michigan,City,42.27087,-83.72633,734,117070,47179,55990,72727009,2254528,America/Detroit
MI,Michigan,Midwest,214,Detroit,Wayne County,Michigan,City,42.33143,-83.04575,313,677116,255740,25764,359360867,10667144,America/Detroit
MI,Michigan,Midwest,215,Grand Rapids,Kent County,Michigan,City,42.96336,-85.66809,616,195097,73026,40355,115103540,2252017,America/Detroit
MI,Michigan,Midwest,216,Lansing,Clinton County/Ingham County/Eaton County,Michigan,City,42.71434,-84.55928,517,115056,48414,35563,101329851,1640233,America/Detroit
MI,Michigan,Midwest,217,Sterling Heights,Macomb County,Michigan,City,42.58031,-83.0302,586,132052,49444,60089,94553340,753481,America/Detroit
MI,Michigan,Midwest,218,Warren,Macomb County,Michigan,City,42.49982,-83.00549,586,135358,53493,43523,89052398,191291,America/Detroit
MN,Minnesota,Midwest,219,Minneapolis,Hennepin County,Minnesota,City,44.97997,-93.26384,612,410939,168385,51480,139858340,9027529,America/Chicago
MN,Minnesota,Midwest,220,Rochester,Olmsted County,Minnesota,City,44.02163,-92.4699,507,112225,43634,64554,141314495,403646,America/Chicago
MN,Minnesota,Midwest,221,St. Paul,Ramsey County,Minnesota,City,44.94441,-93.09327,651,300851,112988,48757,134612878,10884750,America/Chicago
MO,Missouri,Midwest,222,Columbia,Boone County,Missouri,City,38.95171,-92.33407,573,119108,45024,44907,168320842,689182,America/Chicago
MO,Missouri,Midwest,223,Independence,Jackson County/Clay County,Missouri,City,39.08547,-94.3521,816,117255,48313,43472,201595640,1162419,America/Chicago
MO,Missouri,Midwest,224,Kansas City,Cass County/Platte County/Jackson County/Clay County,Missouri,City,39.12513,-94.55103,816,475378,195033,45821,815780419,10370518,America/Chicago
MO,Missouri,Midwest,225,Springfield,Christian County/Greene County,Missouri,City,37.19415,-93.2913,417,166810,71268,33557,213158276,1530246,America/Chicago
MO,Missouri,Midwest,226,St. Louis,St. Louis city,Missouri,City,38.62727,-90.19789,314,315685,139555,35599,160458044,10670040,America/Chicago
MS,Mississippi,South,227,Jackson,Rankin County/Hinds County/Madison County,Mississippi,City,32.31583,-90.21282,769,170674,62671,32250,287614760,5655837,America/Chicago
MT,Montana,West,228,Billings,Yellowstone County,Montana,City,45.78329,-108.50069,406,110263,44092,51012,113183020,284017,America/Denver
NC,North Carolina,South,229,Cary,Chatham County/Wake County,North Carolina,Town,35.78088,-78.81327,919,159769,56034,91579,146322917,2815890,America/New York
NC,North Carolina,South,230,Charlotte,Mecklenburg County,North Carolina,City,35.22709,-80.84313,704,827097,305488,53637,790925550,5215849,America/New York
NC,North Carolina,South,231,Durham,Durham County/Orange County/Wake County,North Carolina,City,35.98115,-78.90293,919,257636,100513,50420,284339132,2323182,America/New York
NC,North Carolina,South,232,Fayetteville,Cumberland County,North Carolina,City,35.05266,-78.87836,910,201963,78439,43630,382659645,4765966,America/New York
NC,North Carolina,South,233,Greensboro,Guilford County,North Carolina,City,36.07264,-79.79198,336,285342,114080,41628,332338206,13707999,America/New York
NC,North Carolina,South,234,High Point,Davidson County/Randolph County/Forsyth County/Guilford County,North Carolina,City,35.98998,-79.99047,336,110268,40973,42299,142972062,3925954,America/New York
NC,North Carolina,South,235,Raleigh,Durham County/Wake County,North Carolina,City,35.8306,-78.64177,919,451066,170366,55398,375740493,2876470,America/New York
NC,North Carolina,South,236,Wilmington,New Hanover County,North Carolina,City,34.22573,-77.94471,910,115933,48425,42128,133663628,3951737,America/New York
NC,North Carolina,South,237,Winston-Salem,Forsyth County,North Carolina,City,36.09986,-80.24422,336,241218,93267,39882,343173025,3173027,America/New York
ND,North Dakota,Midwest,238,Fargo,Cass County,North Dakota,City,46.87719,-96.7898,701,118523,49962,46175,127714801,0,America/Chicago
NE,Nebraska,Midwest,239,Lincoln,Lancaster County,Nebraska,City,40.8,-96.66696,402,277348,107574,49840,238566678,3507136,America/Chicago
NE,Nebraska,Midwest,240,Omaha,Douglas County,Nebraska,City,41.25861,-95.93779,402,443885,173764,49896,344973715,9140906,America/Chicago
NH,New Hampshire,Northeast,241,Manchester,Hillsborough County,New Hampshire,City,42.99564,-71.45479,603,110229,45145,54282,85627013,4850146,America/New York
NJ,New Jersey,Northeast,242,Edison,Middlesex County,New Jersey,Township,40.50399,-74.34941,848,102701,35198,90515,77862691,1630832,America/New York
NJ,New Jersey,Northeast,243,Elizabeth,Union County,New Jersey,City,40.66399,-74.2107,908,129007,39433,43568,31905474,3459587,America/New York
NJ,New Jersey,Northeast,244,Jersey City,Hudson County,New Jersey,City,40.72816,-74.07764,551,264290,99058,59537,38318201,16417392,America/New York
NJ,New Jersey,Northeast,245,Newark,Essex County,New Jersey,City,40.73566,-74.17237,973,281944,92675,33139,62531085,4509710,America/New York
NJ,New Jersey,Northeast,246,Paterson,Passaic County,New Jersey,City,40.91677,-74.17181,973,147754,43037,32915,21790122,762701,America/New York
NJ,New Jersey,Northeast,247,Woodbridge (Township),Middlesex County,New Jersey,Township,40.56073,-74.2927,848,102105,33375,79720,60235960,3515266,America/New York
NM,New Mexico,West,248,Albuquerque,Bernalillo County,New Mexico,City,35.08449,-106.65114,505,559121,222098,47030,487357375,4655624,America/Denver
NM,New Mexico,West,249,Las Cruces,DoÃƒÂ±a Ana County,New Mexico,City,32.31232,-106.77834,575,101643,38925,41330,199270395,250842,America/Denver
NV,Nevada,West,250,Enterprise,Clark County,Nevada,CDP,36.02525,-115.24194,702,124564,43699,68137,120207609,0,America/Los Angeles
NV,Nevada,West,251,Henderson,Clark County,Nevada,City,36.0397,-114.98194,702,285667,104492,63120,271160947,1272345,America/Los Angeles
NV,Nevada,West,252,Las Vegas,Clark County,Nevada,City,36.17497,-115.13722,702,623747,215614,50202,348034258,133982,America/Los Angeles
NV,Nevada,West,253,North Las Vegas,Clark County,Nevada,City,36.19886,-115.1175,702,234807,68686,52511,253858818,112001,America/Los Angeles
NV,Nevada,West,254,Paradise,Clark County,Nevada,CDP,36.09719,-115.14666,702,223182,88401,43911,121034884,0,America/Los Angeles
NV,Nevada,West,255,Reno,Washoe County,Nevada,City,39.52963,-119.8138,775,241445,92283,47012,277887963,7380237,America/Los Angeles
NV,Nevada,West,256,Spring Valley,Clark County,Nevada,CDP,36.10803,-115.245,702,183937,70748,50192,86125947,0,America/Los Angeles
NV,Nevada,West,257,Sunrise Manor,Clark County,Nevada,CDP,36.21108,-115.07306,702,187647,60366,39586,86444651,0,America/Los Angeles
NY,New York,Northeast,258,Amherst,Erie County,New York,Town,43.01164,-78.75715,716,125109,49558,68294,137777476,1003270,America/New York
NY,New York,Northeast,259,Babylon (Town),Suffolk County,New York,Town,40.64092,-73.31669,631,213776,68789,80327,135481314,160302131,America/New York
NY,New York,Northeast,260,Brookhaven,Suffolk County,New York,Town,40.85745,-72.95984,631,489278,161116,87040,671934794,704749682,America/New York
NY,New York,Northeast,261,Brooklyn,Kings County,New York,Borough,40.62472,-73.95222,347,2636735,880727,32135,180000000,70000000,America/New York
NY,New York,Northeast,262,Buffalo,Erie County,New York,City,42.88645,-78.87837,716,258071,110549,31918,104592941,31362925,America/New York
NY,New York,Northeast,263,Hempstead (Town),Nassau County,New York,Town,40.63396,-73.6091,516,771018,241539,94999,307389025,189288363,America/New York
NY,New York,Northeast,264,Huntington,Suffolk County,New York,Town,40.88409,-73.37676,631,204398,69000,105451,243808665,111325968,America/New York
NY,New York,Northeast,265,Islip,Suffolk County,New York,Town,40.71258,-73.19552,631,336113,101387,86864,268844871,153259682,America/New York
NY,New York,Northeast,266,Manhattan,New York County,New York,Borough,40.72833,-73.99417,212,1644518,738644,47030,59100000,28000000,America/New York
NY,New York,Northeast,267,New York City,Richmond County/Queens County/Kings County/New York County/Bronx County,New York,City,40.66347,-73.9387,718,8550405,3113535,53373,780785193,431834008,America/New York
NY,New York,Northeast,268,North Hempstead,Nassau County,New York,Town,40.80336,-73.6784,516,230614,76523,104698,138598541,40538082,America/New York
NY,New York,Northeast,269,Oyster Bay,Nassau County,New York,Town,40.80049,-73.51056,516,298768,98509,112162,268689279,170041808,America/New York
NY,New York,Northeast,270,Queens,Queens County,New York,Borough,40.75,-73.86667,718,2339150,782664,42439,109000000,70000000,America/New York
NY,New York,Northeast,271,Ramapo,Rockland County,New York,Town,41.14077,-74.10498,845,135257,34566,66911,158352484,1803573,America/New York
